id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
42515,https://www.airbnb.com/rooms/42515,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,,,https://a0.muscache.com/pictures/10640277/ff1da5fd_original.jpg,185647,https://www.airbnb.com/users/show/185647,Noelle,2010-07-30,"Geneva, Switzerland","Hi, I am a Management consultant professional, working with multinational and Big 4 firms as Program Manager / Strategy alignment / Business Analyst and Project Management Office (PMO) manager.  
I love living in the center of the city, where there are loads of cultural events, parks,  the lake to enjoy and do biking, jogging, walking, saying, skiing , etc.  

It is also a pleasant experience to share and get to know another culture. ",within a few hours,100%,40%,f,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Commune de Genève,,46.20198,6.15672,Private room in rental unit,Private room,1,,1.5 shared baths,,1,[],$89.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,28,58,88,363,2023-12-27,73,6,0,2011-09-24,2023-11-03,4.73,4.72,4.77,4.84,4.83,4.84,4.52,,f,1,0,1,0,0.49
107438,https://www.airbnb.com/rooms/107438,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,,,https://a0.muscache.com/pictures/93bb00cc-03bb-47c3-905f-a7ae7fa4e328.jpg,556499,https://www.airbnb.com/users/show/556499,F. M.,2011-05-04,"Geneva, Switzerland",It is a cosy furnished room with wifi connexion and cable TV in an amazing modern flat of 115m2 near to the centre of Geneva ,a few days or more,0%,0%,f,https://a0.muscache.com/im/users/556499/profile_pic/1304521913/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/556499/profile_pic/1304521913/original.jpg?aki_policy=profile_x_medium,Passy,2,5,"['email', 'phone']",t,t,,Commune de Genève,,46.18905,6.16154,Private room in rental unit,Private room,1,,1.5 shared baths,,1,[],$60.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,27,57,87,362,2023-12-27,23,0,0,2011-05-15,2019-11-30,4.87,4.9,4.76,4.76,4.76,4.57,4.57,,f,1,0,1,0,0.15
203997,https://www.airbnb.com/rooms/203997,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.90 · 1 bedroom · 1 bath,,"This is the most sought after area in Geneva: the lake is practically on your doorstep, with a boat taxi (2chf/ride) taking you to the other side of the lake. You can run or roll along the promenade; there's a free bike rental offered by the city a stone's throw from the flat, by the Jardin Anglais. Chill out in the Bodega Tapas Bar across the street, or go for Cocktails at the nearby l'Atelier. The following morning, have a vegetarian brunch at Clou de Giraffe or Pain Quotidien. Two much loved restaurants, Da Paolo and L'esquisse, are on the same street. I guarantee you won't be thirsty or hungry in this neighbourhood!",https://a0.muscache.com/pictures/14163740/9392557b_original.jpg,1001280,https://www.airbnb.com/users/show/1001280,Mike,2011-08-21,"Geneva, Switzerland","I love airbnb, both for hosting and traveling. I'm an easy going, independent guy who likes to explore the world, and watch a movie with a bottle of good wine.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_x_medium,,6,12,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.19964,6.1558,Entire rental unit,Entire home/apt,2,,1 bath,,,[],$165.00,5,730,5,5,1125,1125,5.0,1125.0,,t,30,60,90,90,2023-12-27,83,8,0,2012-11-11,2023-11-03,4.9,4.98,4.9,4.98,4.99,4.95,4.83,,t,2,2,0,0,0.61
276025,https://www.airbnb.com/rooms/276025,20231227030725,2023-12-27,city scrape,Rental unit in Versoix · ★4.62 · 1 bedroom · 4 beds · 1 bath,,,https://a0.muscache.com/pictures/4156456/d3aed209_original.jpg,1442438,https://www.airbnb.com/users/show/1442438,Gaby,2011-11-25,"Geneva, Switzerland","Hi, my name is Gaby! I'm a globetrotter. I speak Italian, French, English and Spanish. I understand a bit Portuguese too. I visited a lot of countries and I have a big experience about travelling and housing. 
I'd be very glad to help you and visit Switzerland. Geneva is such a nice city. Come and discover this lovely country. ",within an hour,100%,97%,f,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Versoix,,46.28031,6.16833,Entire rental unit,Entire home/apt,3,,1 bath,,4,[],$78.00,7,360,6,7,1125,1125,7.0,1125.0,,t,0,6,36,311,2023-12-27,118,12,0,2012-03-15,2023-09-16,4.62,4.69,4.73,4.88,4.89,4.76,4.7,,f,1,1,0,0,0.82
338682,https://www.airbnb.com/rooms/338682,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,,"This is the favourite area for expats in Geneva. It's near the lake, has many bars and restaurants and even a few breakfast places nearby. With the lake practically on your doorstep, you're reminded each day what a nice city it is.",https://a0.muscache.com/pictures/14164129/db92c79b_original.jpg,1001280,https://www.airbnb.com/users/show/1001280,Mike,2011-08-21,"Geneva, Switzerland","I love airbnb, both for hosting and traveling. I'm an easy going, independent guy who likes to explore the world, and watch a movie with a bottle of good wine.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_x_medium,,6,12,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.20708,6.15545,Entire rental unit,Entire home/apt,2,,1.5 baths,,1,[],$157.00,5,365,5,5,1125,1125,5.0,1125.0,,t,0,25,55,55,2023-12-27,116,1,0,2012-03-02,2023-09-26,4.81,4.85,4.77,4.9,4.89,4.87,4.69,,t,2,2,0,0,0.81
399388,https://www.airbnb.com/rooms/399388,20231227030725,2023-12-27,city scrape,Rental unit in Carouge · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,,,https://a0.muscache.com/pictures/82542974/c8568e72_original.jpg,1994454,https://www.airbnb.com/users/show/1994454,Oscar,2012-03-23,"Geneva, Switzerland","I love sharing a spare room in my apartment to host people from around the world and share conversations, and experiences, and get to know them. I treat everyone that visits my place as a family member while giving them the intimacy and space they need.

You'll be sharing the apartment with me and my too gentile Italian water dogs (Holy and Zenya). 

I love making incredible vegetable smoothies in the morning, eating healthy living food, and great wines, going out on adventures, reading, meditation, and practicing outdoor sports like running, mountain trekking, surfing, and snowboarding, as well as going to the gym. 

In summary, I'm a pretty easygoing and positive guy who believes that everything that happens to me is the best possible thing that can happen. I love spending quality time with my friends and making new ones.",within a few hours,100%,47%,f,https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone', 'work_email']",t,t,,Commune de Genève,,46.18904,6.13908,Private room in rental unit,Private room,2,,1 shared bath,,1,[],$47.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,27,117,2023-12-27,50,2,1,2012-07-15,2023-12-03,4.83,4.78,4.86,4.94,4.88,4.68,4.7,,f,2,0,2,0,0.36
411058,https://www.airbnb.com/rooms/411058,20231227030725,2023-12-27,city scrape,Loft in Geneva · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,,"The Pâquis quarter is one of Geneva's most colourful, where you'll find an attractive array of boho boutiques, bistros, ethnic eateries, and nightclubs. It is one of the most vibrant ""neighbourhoods"" of Geneva, where you will meet people from all continents, scents from far and near, busy streets and quiet parks only a few blocks away from the lake.",https://a0.muscache.com/pictures/airflow/Hosting-411058/original/5e0aaac9-8a72-4f6b-9376-42d2413d2756.jpg,1706035,https://www.airbnb.com/users/show/1706035,Julik,2012-02-06,رام الله,"Hello traveler. I'm a humanist consultant working on different projects that gather people, languages & cultures. I was born in Geneva but grew up mainly in South America, Africa and the Middle East. Looking forward to seeing you around!

“All journeys have secret destinations of which the traveler is unaware.” ~ Martin Buber",within a day,100%,93%,f,https://a0.muscache.com/im/pictures/user/User-1706035/original/e1f410c6-09a3-47da-83f7-075d3ff84e7f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1706035/original/e1f410c6-09a3-47da-83f7-075d3ff84e7f.jpeg?aki_policy=profile_x_medium,,1,3,"['email', 'phone', 'work_email']",t,t,"Geneva, Switzerland",Commune de Genève,,46.21127,6.1454,Private room in loft,Private room,2,,1.5 shared baths,,1,[],$125.00,2,7,2,2,7,7,2.0,7.0,,t,23,53,83,83,2023-12-27,53,5,0,2014-05-10,2023-09-16,4.77,4.83,4.85,4.94,4.96,4.88,4.62,,f,1,0,1,0,0.45
419631,https://www.airbnb.com/rooms/419631,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,,Quiet yet very central<br /><br />N.B. If you have a car parking can be difficult in the evenings,https://a0.muscache.com/pictures/e591abb4-fc83-458b-b29a-edc859346567.jpg,2086993,https://www.airbnb.com/users/show/2086993,Mark,2012-04-07,"Geneva, Switzerland","I speak English, French, German and after 2 glasses of Spritz fluent Italian",within an hour,100%,98%,f,https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,"Geneva, Canton of Geneva, Switzerland",Commune de Genève,,46.1995,6.17308,Private room in rental unit,Private room,2,,1.5 baths,,1,[],$91.00,2,30,1,1,1125,1125,1.0,1125.0,,t,0,0,10,10,2023-12-27,77,21,0,2013-05-25,2023-11-24,4.94,4.97,5.0,4.99,4.99,4.86,4.91,,t,2,1,1,0,0.60
476344,https://www.airbnb.com/rooms/476344,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.76 · 3 bedrooms · 4 beds · 2.5 baths,,Calm. Shops nearby. Very nice park for children.,https://a0.muscache.com/pictures/6239604/a651ff2d_original.jpg,2361206,https://www.airbnb.com/users/show/2361206,Jean,2012-05-13,"Geneva, Switzerland","Je mets mon chez-moi à disposition lorsque je suis en déplacement. J'aime cet espace, m'y promener, y vivre et y rêver !",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/60db7fe4-094e-4797-b085-d8048e0b148b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/60db7fe4-094e-4797-b085-d8048e0b148b.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Geneva, Canton of Geneva, Switzerland",Commune de Genève,,46.19327,6.15306,Entire rental unit,Entire home/apt,5,,2.5 baths,,4,[],$269.00,3,30,3,3,30,30,3.0,30.0,,t,20,50,77,144,2023-12-27,210,42,3,2012-06-22,2023-12-11,4.76,4.74,4.65,4.81,4.89,4.78,4.64,,f,1,1,0,0,1.50
494701,https://www.airbnb.com/rooms/494701,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.10 · 4 bedrooms · 4 beds · 1.5 baths,,,https://a0.muscache.com/pictures/2d968b6d-4e9b-4346-a21e-197cf6545365.jpg,2388229,https://www.airbnb.com/users/show/2388229,Alberto,2012-05-16,"Geneva, Switzerland",I am italian working in Geneva. I love to meet new people!,within an hour,100%,100%,f,https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_x_medium,,5,18,"['email', 'phone']",t,t,,Commune de Genève,,46.20509,6.12383,Entire rental unit,Entire home/apt,8,,1.5 baths,,4,[],$175.00,7,1125,7,7,1125,1125,7.0,1125.0,,t,11,33,63,338,2023-12-27,181,7,1,2012-11-07,2023-12-09,4.1,4.37,4.19,4.61,4.61,4.44,4.23,,f,5,5,0,0,1.33
